time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.32,1.14,3.4,3.73,-       
0.05,-0.32,1.14,3.4,3.73,-       
0.1,-0.25,1.14,3.4,4.04,-       
0.15,-0.26,1.14,3.4,3.97,-       
0.2,0.01,1.07,3.4,3.72,-       
0.25,0.05,1.1,3.4,3.62,-       
0.3,0.05,1.1,3.4,3.62,-       
0.35,0.05,1.1,3.4,3.62,-       
0.4,0.05,1.1,3.4,3.62,-       
0.45,0.05,1.1,3.4,3.62,-       
0.5,0.05,1.1,3.4,3.62,-       
0.55,0.05,1.1,3.4,3.62,-       
0.6,0.05,1.1,3.4,3.62,-       
0.65,0.05,1.1,3.4,3.62,-       
0.7,0.05,1.1,3.4,3.62,-       
0.75,0.05,1.1,3.4,3.62,-       
0.8,0.09,1.15,3.4,3.35,gaze fixated: p_4_2
0.85,0.09,1.15,3.4,3.35,gaze fixated: p_4_2
0.9,0.09,1.15,3.4,3.35,gaze fixated: p_4_2
0.95,0.03,1.13,3.4,3.48,-       
1.0,0.09,1.13,3.4,3.52,-       
1.05,0.03,1.11,3.4,3.56,-       
1.1,0.08,1.12,3.4,3.67,-       
1.15,-0.04,1.21,3.4,3.54,-       
1.2,0.59,0.75,-0.3,,gaze ended: p_4_2
1.25,0.59,0.75,-0.3,,gaze ended: p_4_2
1.3,0.59,0.75,-0.3,,-       
1.35,0.59,0.75,-0.3,,-       
1.4,0.59,0.75,-0.3,,-       
1.45,0.2,1.05,3.4,3.74,-       
1.5,0.2,1.01,3.4,3.79,gaze started: p_4_3
1.55,0.59,0.75,-0.3,,-       
1.6,0.59,0.75,-0.3,,-       
1.65,0.59,0.75,-0.3,,-       
1.7,0.59,0.75,-0.3,,-       
1.75,0.59,0.75,-0.3,,-       
1.8,0.59,0.75,-0.3,,-       
1.85,0.59,0.75,-0.3,,-       
1.9,0.59,0.75,-0.3,,-       
1.95,0.17,0.88,3.4,3.76,-       
2.0,0.75,1.63,3.4,4.08,gaze started: p_4_3
2.05,1.33,2.4,3.4,4.4,gaze started: p_3_3
2.1,1.29,2.32,3.4,4.36,gaze started: p_1_4
2.15,1.3,2.33,3.4,4.34,-       
2.2,1.3,2.35,3.4,4.38,-       
2.25,0.36,1.57,3.4,4.12,gaze started: p_3_3
2.3,0.36,1.57,3.4,4.12,gaze started: p_3_3
2.35,0.33,1.54,3.4,3.85,-       
2.4,0.59,0.75,-0.3,,-       
2.45,0.59,0.76,-0.3,,-       
2.5,0.59,0.76,-0.3,,-       
2.55,0.59,0.75,-0.3,,-       
2.6,0.59,0.75,-0.3,,-       
2.65,0.59,0.75,-0.3,,-       
2.7,0.59,0.75,-0.3,,-       
2.75,0.59,0.76,-0.3,,-       
2.8,0.4,0.69,3.57,2.92,-       
2.85,0.4,0.69,3.57,2.92,-       
2.9,0.34,0.86,3.46,2.97,-       
2.95,0.33,0.88,3.4,2.99,-       
3.0,0.31,0.89,3.4,3.03,gaze started: p_4_3
3.05,0.3,0.91,3.4,3.01,-       
3.1,0.22,1.08,3.4,2.85,-       
3.15,0.22,1.08,3.4,2.85,-       
3.2,0.18,1.14,3.4,2.83,-       
3.25,0.18,1.14,3.4,2.83,-       
3.3,0.57,0.77,-0.3,,-       
3.35,0.57,0.77,-0.3,,-       
3.4,0.57,0.77,-0.3,,-       
3.45,0.57,0.77,-0.3,,-       
3.5,0.57,0.77,-0.3,,-       
3.55,0.57,0.76,-0.3,,-       
3.6,0.57,0.76,-0.3,,-       
3.65,0.21,1.39,3.4,2.87,-       
3.7,0.29,1.39,3.4,2.89,gaze started: p_3_3
3.75,0.28,1.37,3.4,2.92,-       
3.8,0.27,1.35,3.4,2.97,-       
3.85,0.15,1.67,3.4,2.99,-       
3.9,0.14,1.89,3.46,2.93,-       
3.95,0.13,1.85,3.4,2.94,-       
4.0,0.13,1.86,3.46,2.94,gaze started: p_2_2
4.05,0.13,1.83,3.4,2.94,-       
4.1,0.32,2.03,3.4,2.92,gaze started: p_2_2
4.15,0.34,2.04,3.4,2.93,gaze started: p_2_3
4.2,0.33,2.06,3.4,2.94,-       
4.25,0.33,2.08,3.4,2.95,-       
4.3,0.34,2.07,3.4,2.96,-       
4.35,0.35,2.07,3.4,2.99,-       
4.4,0.16,2.12,3.4,3.04,-       
4.45,-0.1,2.14,3.4,3.07,gaze fixated: p_2_3
4.5,-0.11,2.13,3.4,3.11,gaze started: p_2_2
4.55,-0.13,2.12,3.4,3.1,-       
4.6,-0.13,2.1,3.4,3.14,-       
4.65,0.58,0.77,-0.3,,-       
4.7,0.58,0.77,-0.3,,-       
4.75,0.58,0.76,-0.3,,-       
4.8,0.58,0.76,-0.3,,-       
4.85,0.58,0.76,-0.3,,-       
4.9,0.3,1.75,3.4,3.33,-       
4.95,0.29,1.71,3.4,3.38,gaze started: p_3_3
5.0,0.27,1.7,3.4,3.41,-       
5.05,0.25,1.7,3.4,3.42,-       
5.1,0.25,1.7,3.4,3.42,-       
5.15,0.26,1.69,3.4,3.36,-       
