time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.51,2.46,3.4,3.83,gaze started: p_3_4
0.05,1.28,2.71,3.4,3.85,gaze started: p_1_4
0.1,1.33,2.64,3.4,3.63,-       
0.15,1.28,2.6,3.4,3.61,-       
0.2,1.28,2.6,3.4,3.61,-       
0.25,1.28,2.6,3.4,3.61,-       
0.3,1.28,2.6,3.4,3.61,-       
0.35,1.28,2.6,3.4,3.61,-       
0.4,1.28,2.6,3.4,3.61,-       
0.45,1.28,2.6,3.4,3.61,-       
0.5,1.28,2.6,3.4,3.61,-       
0.55,1.28,2.6,3.4,3.61,-       
0.6,1.28,2.6,3.4,3.61,-       
0.65,-0.55,2.16,3.4,3.41,gaze fixated: p_1_4
0.7,-0.55,2.16,3.4,3.41,gaze fixated: p_1_4
0.75,-0.55,2.16,3.4,3.41,gaze fixated: p_1_4
0.8,-0.5,2.12,3.4,3.4,gaze started: p_2_2
0.85,-0.52,2.12,3.4,3.4,-       
0.9,-0.5,2.13,3.4,3.44,-       
0.95,-0.5,2.12,3.4,3.47,gaze fixated: p_2_2
1.0,-0.5,2.13,3.4,3.5,-       
1.05,-0.49,2.13,3.4,3.54,-       
1.1,-0.5,2.14,3.4,3.56,-       
1.15,-0.5,2.14,3.4,3.59,-       
1.2,-0.51,2.14,3.4,3.61,-       
1.25,-0.5,2.14,3.4,3.66,-       
1.3,-0.5,2.14,3.4,3.67,-       
1.35,-0.51,2.14,3.4,3.7,-       
1.4,-0.49,2.14,3.4,3.73,-       
1.45,-0.78,1.64,3.4,3.82,-       
1.5,-1.05,1.23,3.4,3.83,gaze started: p_3_1
1.55,-1.1,1.21,3.4,3.79,gaze started: p_4_1
1.6,-1.11,1.22,3.4,3.76,-       
1.65,-1.43,0.85,3.39,3.89,-       
1.7,-1.51,0.73,3.38,3.87,-       
1.75,-1.5,0.73,3.43,3.88,-       
1.8,-1.5,0.73,3.38,3.89,-       
1.85,-1.51,0.73,3.4,3.89,-       
1.9,-1.51,0.72,3.38,3.9,-       
1.95,-1.53,0.73,3.39,3.91,-       
2.0,-1.52,0.72,3.37,3.95,-       
2.05,-1.32,0.92,3.4,3.98,-       
2.1,1.06,0.81,-0.5,,gaze started: p_4_1
2.15,1.07,0.81,-0.5,,-       
2.2,1.07,0.8,-0.5,,-       
2.25,1.07,0.8,-0.5,,-       
2.3,0.28,1.76,3.4,3.23,-       
2.35,0.22,1.74,3.4,3.05,gaze started: p_3_3
2.4,0.23,1.73,3.4,2.94,-       
2.45,0.13,1.63,3.4,2.94,-       
2.5,-0.82,0.95,3.4,2.91,gaze started: p_3_2
2.55,-1.4,0.63,3.38,2.89,-       
2.6,-1.39,0.62,3.38,2.86,-       
2.65,-1.47,0.58,3.38,2.88,-       
2.7,-1.49,0.54,3.37,2.88,-       
2.75,-1.44,0.59,3.37,2.82,-       
2.8,-1.51,0.54,3.37,2.79,-       
2.85,-1.46,0.55,3.38,2.79,-       
2.9,-1.47,0.55,3.38,2.83,-       
2.95,-1.46,0.57,3.38,2.84,-       
3.0,-1.45,0.55,3.38,2.87,-       
3.05,-1.46,0.55,3.38,2.88,-       
3.1,-1.55,0.54,3.37,3.04,-       
3.15,-1.57,0.54,3.37,3.02,-       
3.2,-1.56,0.54,3.37,3.04,-       
3.25,-1.55,0.55,3.37,3.06,-       
3.3,-1.55,0.55,3.37,3.09,-       
3.35,-0.75,0.53,3.02,3.15,-       
3.4,-0.42,0.53,2.93,3.16,-       
3.45,-0.42,0.52,2.93,3.16,-       
3.5,-0.42,0.52,2.93,3.17,-       
3.55,-0.4,0.52,2.93,3.2,-       
3.6,-0.41,0.52,2.93,3.18,-       
3.65,-0.41,0.51,2.93,3.19,-       
3.7,-0.43,0.52,2.93,3.23,-       
3.75,-0.68,0.15,2.94,3.22,-       
3.8,-0.6,0.49,1.21,3.19,-       
3.85,1.31,0.85,-0.53,,-       
3.9,-0.6,0.45,1.15,3.29,-       
3.95,-0.65,0.46,1.23,3.34,-       
4.0,-0.64,0.45,1.07,3.38,-       
4.05,-0.64,0.45,1.13,3.42,-       
4.1,-0.65,0.47,1.15,3.41,-       
4.15,-0.63,0.47,1.17,3.46,-       
4.2,-0.57,0.47,1.14,3.47,-       
4.25,-0.53,0.45,1.13,3.49,-       
4.3,-0.52,0.47,1.14,3.54,-       
4.35,-0.52,0.47,1.15,3.54,-       
4.4,-0.53,0.46,1.18,3.58,-       
4.45,-0.53,0.47,1.16,3.57,-       
4.5,-0.49,0.46,1.19,3.56,-       
4.55,-0.48,0.46,1.19,3.57,-       
4.6,-0.47,0.46,1.17,3.59,-       
4.65,-0.11,0.47,1.26,3.67,-       
4.7,0.42,0.45,1.29,3.68,-       
4.75,0.37,0.45,1.28,3.7,-       
4.8,0.31,0.51,1.21,3.61,-       
4.85,0.32,0.52,1.21,3.62,-       
4.9,0.3,0.49,1.21,3.63,-       
4.95,0.89,0.47,1.17,3.71,-       
5.0,0.89,0.47,1.15,3.71,-       
5.05,0.85,0.47,1.15,3.7,-       
5.1,0.86,0.47,1.16,3.72,-       
5.15,0.86,0.47,1.17,3.65,-       
5.2,0.85,0.46,1.19,3.68,-       
5.25,0.82,0.46,1.19,3.69,-       
5.3,0.8,0.46,1.2,3.6,-       
5.35,0.8,0.46,1.2,3.64,-       
5.4,0.78,0.46,1.19,3.61,-       
5.45,0.76,0.46,1.18,3.58,-       
5.5,0.77,0.46,1.2,3.59,-       
5.55,0.6,0.45,1.23,3.6,-       
5.6,0.14,0.46,1.22,3.64,-       
5.65,0.13,0.46,1.2,3.62,-       
5.7,0.13,0.46,1.19,3.6,-       
5.75,0.13,0.46,1.2,3.63,-       
5.8,0.14,0.46,1.19,3.64,-       
5.85,0.14,0.46,1.19,3.66,-       
5.9,0.22,0.46,1.16,3.71,-       
5.95,0.23,0.46,1.14,3.7,-       
6.0,0.23,0.46,1.12,3.7,-       
6.05,0.23,0.46,1.14,3.75,-       
6.1,0.23,0.46,1.12,3.73,-       
6.15,0.23,0.46,1.12,3.73,-       
6.2,0.24,0.46,1.14,3.77,-       
6.25,0.24,0.46,1.13,3.82,-       
6.3,0.23,0.46,1.12,3.81,-       
6.35,0.23,0.46,1.15,3.84,-       
6.4,0.23,0.46,1.16,3.85,-       
6.45,0.23,0.46,1.16,3.87,-       
6.5,0.25,0.51,1.38,3.98,-       
6.55,0.42,0.09,2.94,3.98,-       
6.6,0.38,0.16,2.94,4.0,-       
6.65,0.34,0.07,2.94,3.94,-       
6.7,0.38,0.08,2.94,3.97,-       
6.75,0.23,1.05,3.4,4.16,-       
6.8,0.19,1.23,3.4,4.03,gaze started: p_4_3
6.85,0.14,1.25,3.46,3.97,-       
6.9,0.15,1.28,3.4,3.86,-       
6.95,0.15,1.22,3.4,3.74,gaze started: p_4_3
7.0,0.15,1.22,3.4,3.7,-       
7.05,-0.16,0.66,3.57,3.54,-       
7.1,-0.33,0.53,3.57,3.47,-       
7.15,-0.27,0.53,3.51,3.42,-       
7.2,-0.3,0.53,3.54,3.38,-       
7.25,-0.2,0.53,3.55,3.22,-       
7.3,-0.12,0.53,3.3,3.14,-       
7.35,-0.25,0.53,3.32,3.13,-       
7.4,-0.24,0.53,3.29,3.15,-       
7.45,-0.33,0.53,3.11,3.16,-       
7.5,1.25,0.82,-0.95,,-       
7.55,1.21,0.82,-0.88,,-       
7.6,1.17,0.84,-0.79,,-       
7.65,1.16,0.84,-0.76,,-       
7.7,0.05,1.99,3.4,3.32,-       
7.75,0.2,2.05,3.4,3.41,gaze started: p_2_2
7.8,0.04,1.95,3.4,3.37,gaze started: p_2_3
7.85,0.1,1.98,3.4,3.4,gaze started: p_2_2
7.9,0.11,1.95,3.4,3.45,-       
7.95,0.12,1.95,3.4,3.44,-       
8.0,0.12,1.94,3.4,3.42,-       
8.05,0.13,1.92,3.4,3.32,-       
8.1,0.15,1.87,3.4,3.24,gaze started: p_2_3
8.15,0.14,1.86,3.46,3.21,-       
8.2,0.15,1.86,3.4,3.2,-       
8.25,0.13,1.89,3.4,3.17,gaze started: p_2_2
8.3,0.15,1.9,3.4,3.16,-       
8.35,0.16,1.93,3.4,3.15,gaze started: p_2_3
8.4,0.13,1.91,3.4,3.15,-       
8.45,0.16,1.88,3.4,3.12,-       
8.5,0.15,1.88,3.4,3.12,gaze started: p_2_3
8.55,0.13,1.87,3.4,3.1,-       
8.6,0.15,1.87,3.4,3.06,-       
8.65,-0.22,2.21,3.4,3.14,gaze started: p_2_3
8.7,-0.28,2.22,3.4,3.11,gaze started: p_2_2
8.75,-0.29,2.22,3.4,3.1,-       
8.8,-0.28,2.23,3.4,3.06,-       
8.85,0.12,1.94,3.4,3.08,-       
8.9,0.08,1.93,3.4,3.05,-       
8.95,0.06,1.93,3.4,3.04,gaze fixated: p_2_2
9.0,0.09,1.92,3.4,3.05,-       
9.05,0.12,1.91,3.4,3.05,-       
9.1,0.13,1.86,3.4,3.13,-       
9.15,0.13,1.86,3.46,3.11,-       
9.2,0.1,1.85,3.4,3.17,gaze ended: p_2_2
9.25,1.08,0.85,-0.61,,gaze started: p_2_2
9.3,1.08,0.86,-0.57,,-       
9.35,-0.83,2.24,3.4,3.28,-       
9.4,-0.75,2.29,3.4,3.24,gaze started: p_2_1
9.45,-0.74,2.29,3.4,3.25,gaze started: p_1_1
9.5,0.06,1.88,3.4,3.18,gaze started: p_2_2
9.55,0.06,1.88,3.4,3.17,-       
9.6,0.1,1.87,3.4,3.18,-       
9.65,0.07,1.88,3.4,3.18,-       
9.7,0.08,1.87,3.4,3.17,-       
9.75,0.08,1.86,3.4,3.18,-       
9.8,0.03,1.73,3.4,3.15,gaze fixated: p_2_2
9.85,-0.37,0.92,3.4,3.05,gaze started: p_3_2
9.9,-0.45,0.7,3.57,2.99,-       
9.95,-0.41,0.7,3.57,3.01,-       
10.0,-0.37,0.53,3.27,2.96,-       
10.05,-0.35,0.53,3.31,3.04,-       
10.1,-0.38,0.53,3.34,3.05,-       
10.15,-0.45,0.89,3.4,3.04,-       
10.2,-0.49,2.0,3.4,3.14,gaze started: p_4_2
10.25,-0.61,1.96,3.4,3.1,-       
10.3,-0.56,1.97,3.4,3.15,-       
10.35,-0.5,1.96,3.4,3.17,-       
10.4,-0.5,1.96,3.4,3.19,-       
10.45,-0.48,1.95,3.4,3.24,-       
10.5,-0.48,1.95,3.4,3.28,gaze fixated: p_2_2
10.55,-0.48,1.95,3.4,3.29,-       
10.6,0.1,1.92,3.4,3.29,-       
10.65,0.08,1.9,3.4,3.41,-       
10.7,0.06,1.91,3.4,3.43,-       
10.75,0.04,1.91,3.4,3.44,-       
10.8,0.04,1.91,3.4,3.46,-       
10.85,0.02,1.89,3.4,3.52,-       
10.9,0.02,1.89,3.4,3.53,-       
10.95,0.02,1.89,3.4,3.56,-       
11.0,0.03,1.88,3.4,3.6,-       
11.05,0.04,1.88,3.4,3.66,-       
11.1,0.01,2.37,3.4,3.88,-       
11.15,0.02,2.38,3.4,3.89,gaze started: p_1_2
11.2,0.03,2.41,3.4,3.9,-       
11.25,0.02,2.41,3.4,3.91,-       
11.3,0.03,2.39,3.4,3.89,-       
11.35,0.04,2.37,3.4,3.88,-       
11.4,0.44,2.47,3.4,3.87,gaze started: p_1_3
11.45,0.43,2.48,3.4,3.87,-       
11.5,0.43,2.49,3.4,3.87,-       
11.55,0.44,2.49,3.4,3.87,-       
11.6,0.46,2.49,3.4,3.87,-       
11.65,0.49,2.5,3.4,3.86,-       
11.7,0.5,2.5,3.4,3.88,gaze fixated: p_1_3
11.75,0.51,2.5,3.4,3.88,-       
11.8,0.52,2.5,3.4,3.9,-       
11.85,0.54,2.5,3.4,3.93,-       
11.9,0.55,2.49,3.4,3.95,-       
11.95,0.56,2.48,3.4,3.96,-       
12.0,0.35,2.31,3.4,3.97,-       
12.05,-0.14,1.92,3.4,3.91,-       
12.1,-0.1,1.85,3.4,3.8,-       
12.15,-0.11,1.84,3.4,3.76,-       
12.2,-0.14,1.84,3.4,3.68,-       
12.25,-0.07,1.81,3.4,3.55,-       
12.3,-0.05,1.8,3.46,3.47,-       
12.35,-0.09,1.81,3.4,3.47,-       
12.4,-0.08,1.82,3.4,3.49,gaze started: p_2_2
12.45,-0.03,1.81,3.4,3.5,-       
12.5,-0.4,2.09,3.4,3.57,-       
12.55,-0.38,2.1,3.4,3.56,-       
12.6,-0.45,2.09,3.4,3.57,-       
12.65,-0.4,2.11,3.4,3.61,gaze fixated: p_2_2
12.7,-0.6,2.1,3.4,3.66,-       
12.75,-0.71,2.13,3.4,3.74,-       
