time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.38,2.18,3.4,5.27,-       
0.05,-0.38,2.18,3.4,5.27,-       
0.1,-0.37,2.21,3.4,5.29,gaze fixated: p_2_2
0.15,-0.39,2.2,3.4,5.31,-       
0.2,-0.39,2.2,3.4,5.31,-       
0.25,-0.39,2.2,3.4,5.34,-       
0.3,-0.39,2.21,3.4,5.36,-       
0.35,0.46,1.88,3.4,5.16,-       
0.4,0.37,1.77,3.4,4.83,gaze started: p_2_3
0.45,0.37,1.77,3.4,4.83,gaze started: p_2_3
0.5,0.47,1.76,3.4,4.7,gaze started: p_3_3
0.55,0.46,1.74,3.4,4.53,-       
0.6,0.46,1.71,3.4,4.33,-       
0.65,0.37,1.69,3.4,4.13,-       
0.7,0.37,1.69,3.4,4.13,-       
0.75,-0.16,1.71,3.4,3.87,gaze fixated: p_3_3
0.8,-0.04,1.77,3.4,3.8,gaze started: p_3_2
0.85,-0.04,1.77,3.4,3.8,gaze started: p_3_2
0.9,-0.07,1.76,3.4,3.73,-       
0.95,-0.07,1.77,3.4,3.65,-       
1.0,-0.07,1.77,3.4,3.65,-       
1.05,-0.06,1.77,3.4,3.56,-       
1.1,-0.08,1.74,3.4,3.5,gaze fixated: p_3_2
1.15,-0.07,1.75,3.4,3.45,-       
1.2,0.0,2.02,3.4,3.4,-       
1.25,0.0,2.02,3.4,3.4,-       
1.3,0.09,2.11,3.4,3.36,gaze started: p_2_2
1.35,0.07,2.05,3.4,3.34,-       
1.4,0.07,2.06,3.4,3.3,-       
1.45,0.07,2.06,3.4,3.3,-       
1.5,0.08,2.07,3.4,3.28,-       
1.55,0.07,2.05,3.4,3.3,gaze fixated: p_2_2
1.6,1.04,0.82,-1.03,,-       
1.65,1.04,0.82,-1.03,,-       
1.7,1.04,0.82,-1.03,,gaze ended: p_2_2
1.75,1.04,0.82,-1.03,,-       
1.8,1.04,0.82,-1.03,,-       
1.85,1.04,0.82,-1.03,,-       
1.9,0.0,1.7,3.4,3.47,-       
1.95,0.01,1.71,3.4,3.43,gaze started: p_3_2
2.0,0.1,1.75,3.4,3.53,-       
2.05,0.1,1.75,3.4,3.53,-       
2.1,0.1,1.76,3.4,3.56,-       
2.15,0.08,1.74,3.4,3.58,-       
2.2,0.08,1.74,3.4,3.58,-       
2.25,0.09,1.74,3.4,3.57,gaze fixated: p_3_2
2.3,0.06,1.73,3.4,3.53,-       
2.35,0.09,1.73,3.4,3.51,-       
2.4,0.07,1.73,3.4,3.49,-       
2.45,0.07,1.73,3.4,3.49,-       
2.5,0.08,1.74,3.4,3.51,-       
