time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.48,1.92,3.4,3.25,-       
0.05,0.52,1.9,3.4,3.26,-       
0.1,0.52,1.9,3.4,3.28,-       
0.15,0.52,1.89,3.4,3.3,-       
0.2,0.6,1.86,3.4,3.4,-       
0.25,0.92,1.63,3.4,3.5,-       
0.3,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.35,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.4,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.45,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.5,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.55,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.6,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.65,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.7,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.75,0.93,1.61,3.4,3.59,gaze started: p_3_3
0.8,0.62,0.71,-0.28,,gaze fixated: p_3_3
0.85,0.27,1.88,3.4,2.63,gaze ended: p_3_3
0.9,0.27,1.88,3.4,2.63,gaze ended: p_3_3
0.95,0.23,1.85,3.4,2.56,gaze started: p_2_3
1.0,0.28,1.83,3.4,2.58,-       
1.05,0.29,1.83,3.4,2.59,-       
1.1,0.28,1.83,3.4,2.62,-       
1.15,0.27,1.86,3.4,2.64,-       
1.2,0.29,1.84,3.4,2.63,gaze fixated: p_2_3
1.25,0.34,1.82,3.4,2.58,-       
1.3,0.32,1.83,3.4,2.55,-       
1.35,0.31,1.83,3.4,2.56,-       
1.4,0.34,1.82,3.4,2.55,-       
1.45,0.34,1.81,3.46,2.67,-       
1.5,0.3,1.82,3.4,2.69,gaze ended: p_2_3
1.55,0.3,1.83,3.4,2.79,gaze started: p_2_3
1.6,0.3,1.83,3.4,2.89,-       
1.65,0.3,1.82,3.4,2.98,-       
1.7,0.29,1.82,3.4,3.05,-       
1.75,0.29,1.82,3.4,3.14,-       
1.8,0.21,1.82,3.46,3.27,gaze fixated: p_2_3
1.85,0.62,0.71,-0.28,,gaze ended: p_2_3
1.9,0.62,0.71,-0.28,,-       
1.95,0.62,0.71,-0.28,,-       
2.0,0.62,0.71,-0.28,,-       
2.05,0.22,1.83,3.4,3.42,-       
2.1,0.21,1.83,3.4,3.45,gaze started: p_2_3
2.15,0.2,1.84,3.4,3.49,-       
2.2,0.22,1.82,3.46,3.52,-       
2.25,0.23,1.79,3.4,3.55,-       
2.3,0.23,1.79,3.4,3.53,gaze started: p_3_3
2.35,0.24,1.81,3.46,3.38,-       
2.4,0.24,1.82,3.46,3.24,-       
2.45,0.25,1.81,3.4,3.02,-       
2.5,0.26,1.83,3.4,2.86,gaze started: p_2_3
2.55,0.27,1.82,3.4,2.69,-       
2.6,0.28,1.82,3.4,2.63,-       
2.65,0.26,1.82,3.4,2.61,-       
2.7,0.25,1.82,3.4,2.58,-       
2.75,0.27,1.82,3.46,2.54,gaze fixated: p_2_3
2.8,0.27,1.81,3.46,2.54,gaze ended: p_2_3
2.85,0.27,1.82,3.46,2.55,-       
2.9,0.27,1.82,3.4,2.55,-       
2.95,0.31,1.82,3.4,2.56,gaze started: p_2_3
3.0,0.3,1.83,3.4,2.52,-       
3.05,0.32,1.81,3.46,2.53,-       
3.1,0.28,1.82,3.46,2.56,-       
3.15,0.29,1.81,3.46,2.58,-       
3.2,0.27,1.81,3.46,2.59,-       
