time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.56,0.36,-0.11,,gaze fixated: p_2_2
0.05,0.56,0.36,-0.11,,gaze fixated: p_2_2
0.1,-0.57,1.74,3.4,4.8,gaze ended: p_2_2
0.15,-0.48,1.81,3.46,4.87,gaze started: p_3_2
0.2,-0.5,1.79,3.4,4.89,-       
0.25,-0.5,1.79,3.4,4.89,-       
0.3,-0.53,1.7,3.4,4.9,gaze started: p_3_2
0.35,-0.54,1.7,3.4,4.93,-       
0.4,-0.54,1.7,3.4,4.93,-       
0.45,-0.6,1.71,3.4,5.0,-       
0.5,-0.22,1.58,3.4,5.06,-       
0.55,-0.22,1.58,3.4,5.06,-       
0.6,-0.13,1.62,3.4,5.08,gaze fixated: p_3_2
0.65,-0.09,1.66,3.4,5.07,-       
0.7,-0.08,1.68,3.4,5.09,-       
0.75,-0.08,1.68,3.4,5.09,-       
0.8,-0.11,1.68,3.4,5.11,-       
0.85,-0.09,1.69,3.4,5.11,-       
0.9,-0.09,1.7,3.4,5.13,-       
0.95,-0.09,1.7,3.4,5.13,-       
1.0,-0.1,1.68,3.4,5.14,-       
1.05,0.55,0.36,-0.11,,-       
1.1,0.55,0.36,-0.11,,gaze ended: p_3_2
1.15,0.55,0.36,-0.11,,gaze ended: p_3_2
1.2,0.55,0.36,-0.11,,-       
1.25,0.55,0.36,-0.11,,-       
1.3,0.55,0.36,-0.11,,-       
1.35,0.55,0.36,-0.11,,-       
1.4,-0.32,1.72,3.4,5.03,-       
1.45,-0.25,1.77,3.4,5.09,gaze started: p_3_2
1.5,0.36,1.51,3.4,4.88,-       
1.55,0.36,1.51,3.4,4.88,-       
1.6,0.4,1.57,3.4,4.81,gaze started: p_3_3
1.65,0.43,1.59,3.4,4.58,-       
1.7,0.42,1.59,3.4,4.38,-       
1.75,0.42,1.59,3.4,4.38,-       
1.8,0.41,1.58,3.4,4.12,-       
1.85,0.42,1.62,3.4,4.0,gaze fixated: p_3_3
1.9,0.42,1.62,3.4,4.0,gaze fixated: p_3_3
1.95,-0.35,1.82,3.4,3.76,-       
2.0,-0.32,1.93,3.4,3.73,gaze started: p_2_2
2.05,-0.28,1.88,3.4,3.73,-       
2.1,-0.28,1.88,3.4,3.73,-       
2.15,-0.27,1.89,3.4,3.69,-       
2.2,0.06,1.9,3.4,3.62,-       
2.25,0.05,1.86,3.4,3.66,gaze fixated: p_2_2
2.3,0.05,1.86,3.4,3.66,gaze fixated: p_2_2
2.35,0.04,1.86,3.4,3.66,-       
2.4,0.05,1.86,3.4,3.64,-       
2.45,0.05,1.87,3.4,3.62,-       
2.5,0.05,1.87,3.4,3.62,-       
2.55,0.01,1.69,3.4,3.53,-       
2.6,0.06,1.46,3.4,3.54,gaze started: p_3_2
2.65,0.04,1.47,3.4,3.54,-       
2.7,0.04,1.47,3.4,3.54,-       
2.75,0.05,1.47,3.4,3.61,-       
2.8,0.04,1.46,3.4,3.64,-       
2.85,0.04,1.46,3.4,3.64,-       
2.9,0.54,0.36,-0.14,,gaze fixated: p_3_2
2.95,0.54,0.36,-0.14,,gaze ended: p_3_2
3.0,0.54,0.36,-0.15,,-       
3.05,0.54,0.36,-0.15,,-       
3.1,0.54,0.36,-0.15,,-       
3.15,0.54,0.36,-0.15,,-       
