time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.07,0.99,3.4,4.88,-       
0.05,-0.07,0.99,3.4,4.88,-       
0.1,-0.08,0.99,3.4,4.86,gaze fixated: p_4_2
0.15,-0.08,0.99,3.4,4.86,gaze fixated: p_4_2
0.2,-0.07,0.98,3.4,4.81,-       
0.25,-0.07,0.98,3.4,4.81,-       
0.3,0.49,1.12,3.4,4.32,-       
0.35,0.49,1.12,3.4,4.32,-       
0.4,0.56,1.22,3.4,4.21,-       
0.45,0.56,1.22,3.4,4.21,-       
0.5,0.55,1.23,3.4,4.17,-       
0.55,0.55,1.23,3.4,4.17,-       
0.6,0.42,1.36,3.4,4.08,gaze fixated: p_4_3
0.65,0.42,1.36,3.4,4.08,gaze fixated: p_4_3
0.7,0.24,1.72,3.4,4.02,gaze started: p_3_3
0.75,0.23,1.73,3.4,4.12,-       
0.8,0.23,1.73,3.4,4.12,-       
0.85,0.23,1.73,3.4,4.12,-       
0.9,0.23,1.73,3.4,4.12,-       
0.95,0.23,1.73,3.4,4.12,-       
1.0,0.23,1.73,3.4,4.12,-       
1.05,0.23,1.73,3.4,4.12,-       
1.1,0.23,1.73,3.4,4.12,-       
1.15,0.23,1.73,3.4,4.12,-       
1.2,0.23,1.73,3.4,4.12,-       
1.25,0.23,1.73,3.4,4.12,-       
1.3,-0.61,1.36,3.4,4.53,gaze fixated: p_3_3
1.35,-0.78,1.19,3.4,4.53,gaze started: p_3_2
1.4,-0.76,1.2,3.4,4.55,gaze started: p_4_1
1.45,-0.73,1.21,3.4,4.57,-       
1.5,-0.71,1.21,3.4,4.58,-       
1.55,0.58,0.36,-0.07,,-       
1.6,0.58,0.36,-0.07,,-       
1.65,0.58,0.36,-0.07,,-       
1.7,0.58,0.36,-0.07,,-       
1.75,0.58,0.36,-0.08,,-       
1.8,0.58,0.36,-0.08,,-       
1.85,-1.25,0.72,3.57,4.59,-       
1.9,-1.26,0.69,3.57,4.62,-       
1.95,0.58,0.36,-0.09,,-       
2.0,0.59,0.36,-0.09,,-       
2.05,0.6,0.35,-0.11,,-       
2.1,0.61,0.36,-0.12,,-       
2.15,0.63,0.36,-0.13,,-       
2.2,0.65,0.36,-0.15,,-       
2.25,0.67,0.36,-0.16,,-       
2.3,-0.38,0.94,3.4,4.8,-       
2.35,-0.36,0.95,3.4,4.82,gaze started: p_4_2
2.4,-0.4,0.97,3.4,4.87,-       
2.45,-0.37,0.95,3.4,4.78,-       
2.5,-0.42,0.92,3.4,4.7,-       
2.55,-0.41,0.93,3.4,4.74,-       
2.6,-0.4,0.95,3.4,4.74,gaze fixated: p_4_2
2.65,-0.4,0.95,3.4,4.74,gaze fixated: p_4_2
2.7,-0.4,0.93,3.4,4.74,-       
2.75,0.11,1.18,3.4,4.53,-       
2.8,0.44,1.47,3.4,4.39,-       
2.85,0.41,1.52,3.4,4.08,gaze started: p_3_3
2.9,0.41,1.5,3.4,3.89,-       
2.95,0.41,1.5,3.4,3.72,-       
3.0,0.41,1.56,3.4,3.55,-       
3.05,0.4,1.55,3.4,3.44,-       
3.1,-0.1,1.67,3.4,3.25,gaze fixated: p_3_3
3.15,-0.17,1.62,3.4,3.16,gaze started: p_3_2
3.2,-0.12,1.65,3.4,3.15,-       
3.25,-0.11,1.65,3.4,3.13,-       
3.3,-0.13,1.64,3.4,3.11,-       
3.35,-0.14,1.64,3.4,3.09,-       
3.4,-0.12,1.63,3.4,3.07,gaze fixated: p_3_2
3.45,-0.2,1.61,3.4,3.05,-       
3.5,-0.13,1.63,3.4,3.04,-       
3.55,-0.19,1.62,3.4,3.05,-       
3.6,-0.15,1.66,3.4,3.04,-       
3.65,0.09,1.96,3.4,3.1,-       
3.7,0.07,1.98,3.4,3.11,gaze started: p_2_2
3.75,0.02,1.98,3.4,3.12,-       
3.8,0.0,2.0,3.4,3.15,-       
3.85,-0.05,1.97,3.4,3.12,-       
3.9,0.78,0.36,-0.15,,-       
3.95,0.77,0.36,-0.15,,-       
4.0,0.76,0.36,-0.15,,-       
4.05,0.74,0.37,-0.14,,-       
4.1,0.72,0.36,-0.14,,-       
4.15,0.1,1.9,3.4,3.29,-       
4.2,0.06,1.93,3.4,3.37,gaze started: p_2_2
4.25,0.14,1.94,3.46,3.39,-       
4.3,0.08,1.92,3.4,3.42,-       
4.35,0.08,1.92,3.4,3.44,gaze started: p_2_2
4.4,0.1,1.93,3.4,3.48,-       
4.45,0.11,1.93,3.4,3.51,-       
4.5,0.12,1.92,3.4,3.52,-       
4.55,0.13,1.92,3.4,3.51,-       
4.6,0.13,1.92,3.4,3.51,-       
4.65,0.13,1.92,3.4,3.51,gaze fixated: p_2_2
4.7,0.13,1.91,3.4,3.53,-       
4.75,0.27,1.83,3.4,3.61,-       
4.8,0.19,1.84,3.4,3.62,gaze started: p_2_3
4.85,0.22,1.84,3.4,3.64,-       
4.9,0.21,1.82,3.4,3.67,-       
4.95,0.2,1.82,3.4,3.7,-       
5.0,0.17,1.76,3.4,3.76,-       
5.05,0.03,1.63,3.4,3.69,gaze started: p_3_3
5.1,0.07,1.64,3.4,3.71,gaze started: p_3_2
5.15,0.08,1.63,3.4,3.72,-       
5.2,0.07,1.62,3.4,3.75,-       
5.25,0.08,1.64,3.4,3.76,-       
5.3,0.11,1.4,3.4,3.85,-       
5.35,0.19,1.44,3.4,3.86,gaze fixated: p_3_2
5.4,0.17,1.43,3.4,3.86,gaze started: p_3_3
5.45,0.16,1.43,3.4,3.87,-       
5.5,0.16,1.43,3.4,3.89,-       
5.55,0.17,1.43,3.4,3.91,-       
5.6,0.17,1.43,3.4,3.91,-       
5.65,0.17,1.43,3.4,3.91,-       
5.7,0.17,1.43,3.4,3.92,gaze fixated: p_3_3
5.75,0.15,1.43,3.4,3.92,-       
5.8,0.08,1.64,3.4,3.72,gaze started: p_3_2
5.85,0.08,1.64,3.4,3.72,gaze started: p_3_2
5.9,0.15,1.67,3.4,3.67,-       
5.95,0.15,1.68,3.4,3.6,gaze started: p_3_3
6.0,0.15,1.66,3.4,3.48,-       
6.05,0.15,1.66,3.4,3.48,-       
6.1,0.15,1.66,3.4,3.4,-       
6.15,0.14,1.65,3.4,3.37,-       
6.2,0.16,1.65,3.4,3.35,gaze fixated: p_3_3
6.25,0.12,1.66,3.4,3.32,-       
6.3,-0.61,1.45,3.4,3.37,gaze started: p_3_2
6.35,-1.08,1.22,3.4,3.36,-       
6.4,-1.25,1.05,3.4,3.4,gaze started: p_4_1
6.45,-1.27,1.03,3.4,3.36,-       
6.5,-1.25,1.04,3.4,3.36,-       
6.55,-1.26,1.04,3.4,3.36,-       
6.6,-1.25,1.05,3.4,3.37,-       
6.65,-1.26,1.05,3.4,3.37,gaze fixated: p_4_1
6.7,-1.19,1.09,3.4,3.37,-       
6.75,-0.03,1.61,3.4,3.25,-       
6.8,0.06,1.63,3.4,3.13,gaze started: p_3_2
6.85,0.16,1.65,3.4,3.18,-       
6.9,0.1,1.64,3.4,3.14,gaze started: p_3_3
6.95,0.11,1.64,3.4,3.13,gaze started: p_3_2
7.0,-0.3,1.4,3.4,3.13,-       
7.05,-1.24,0.85,3.57,3.24,-       
7.1,-1.47,0.66,3.38,3.26,-       
7.15,-1.43,0.68,3.38,3.24,-       
7.2,-1.43,0.68,3.37,3.27,-       
7.25,-1.41,0.69,3.38,3.33,-       
7.3,-1.41,0.69,3.38,3.37,-       
7.35,-1.41,0.68,3.38,3.4,-       
7.4,-1.43,0.69,3.37,3.41,-       
7.45,-1.43,0.69,3.37,3.4,-       
7.5,-1.43,0.7,3.37,3.37,-       
7.55,-1.1,1.02,3.4,3.33,-       
7.6,0.13,1.68,3.4,3.25,gaze started: p_4_1
7.65,0.12,1.69,3.4,3.27,gaze started: p_3_2
7.7,0.09,1.68,3.4,3.26,-       
7.75,0.06,1.67,3.4,3.26,-       
7.8,0.03,1.66,3.4,3.25,-       
7.85,0.14,1.69,3.46,3.25,-       
7.9,0.11,1.65,3.4,3.24,-       
7.95,0.05,1.65,3.4,3.22,gaze started: p_3_2
8.0,0.15,1.66,3.4,3.16,-       
8.05,0.12,1.66,3.4,3.15,gaze started: p_3_3
8.1,0.01,1.65,3.4,3.13,gaze started: p_3_2
8.15,0.06,1.66,3.4,3.14,-       
8.2,0.06,1.66,3.4,3.14,-       
8.25,0.09,1.67,3.4,3.17,-       
8.3,0.11,1.67,3.4,3.18,-       
8.35,0.09,1.67,3.4,3.19,-       
8.4,0.09,1.66,3.4,3.2,gaze fixated: p_3_2
8.45,0.07,1.76,3.4,3.19,-       
8.5,0.06,1.78,3.4,3.14,-       
8.55,0.05,1.76,3.4,3.18,-       
8.6,0.05,1.76,3.4,3.2,-       
8.65,0.1,1.77,3.4,3.23,-       
8.7,0.09,1.77,3.4,3.25,-       
8.75,0.14,1.78,3.4,3.28,-       
8.8,0.15,1.79,3.4,3.29,gaze started: p_3_3
8.85,0.14,1.8,3.46,3.29,-       
8.9,0.12,1.78,3.4,3.29,-       
8.95,0.13,1.77,3.4,3.26,gaze started: p_3_2
9.0,0.21,1.76,3.4,3.22,-       
9.05,-0.04,1.43,3.4,3.2,gaze started: p_3_3
9.1,-0.07,1.31,3.4,3.21,gaze started: p_3_2
9.15,-0.02,1.31,3.4,3.23,gaze started: p_4_2
9.2,-0.02,1.31,3.4,3.24,-       
9.25,-0.03,1.31,3.4,3.26,-       
9.3,-0.03,1.32,3.4,3.28,-       
9.35,-0.04,1.33,3.46,3.31,-       
9.4,-0.03,1.32,3.4,3.34,-       
9.45,-0.03,1.32,3.4,3.34,gaze started: p_4_2
9.5,-0.03,1.32,3.4,3.34,-       
9.55,-0.03,1.32,3.4,3.33,-       
9.6,-0.03,1.32,3.4,3.31,-       
9.65,-0.04,1.34,3.46,3.29,-       
9.7,-0.04,1.34,3.46,3.27,-       
9.75,-0.04,1.34,3.46,3.26,-       
9.8,0.11,1.6,3.4,3.28,-       
9.85,0.19,1.67,3.4,3.27,gaze started: p_3_2
9.9,0.07,1.63,3.4,3.3,gaze started: p_3_3
9.95,0.19,1.65,3.4,3.28,gaze started: p_3_2
10.0,0.03,1.62,3.4,3.24,gaze started: p_3_3
10.05,0.08,1.65,3.4,3.24,gaze started: p_3_2
10.1,0.08,1.66,3.4,3.24,-       
10.15,0.07,1.65,3.4,3.24,-       
10.2,0.14,1.7,3.46,3.24,-       
10.25,0.12,1.68,3.4,3.31,-       
10.3,-0.01,1.38,3.4,3.32,gaze started: p_3_2
10.35,-0.03,1.24,3.4,3.4,-       
10.4,-0.03,1.24,3.4,3.4,gaze started: p_4_2
10.45,-0.03,1.25,3.4,3.41,-       
10.5,-0.04,1.25,3.4,3.45,-       
10.55,-0.04,1.25,3.4,3.49,-       
10.6,-0.02,1.26,3.4,3.51,-       
10.65,-0.03,1.26,3.4,3.52,gaze fixated: p_4_2
10.7,-0.02,1.26,3.4,3.52,-       
10.75,-0.02,1.25,3.4,3.51,-       
10.8,0.16,1.36,3.4,3.5,-       
10.85,0.39,1.51,3.4,3.52,gaze started: p_3_3
10.9,0.39,1.51,3.4,3.49,-       
10.95,0.39,1.51,3.4,3.49,-       
11.0,0.4,1.5,3.4,3.55,-       
11.05,0.4,1.5,3.4,3.55,-       
11.1,-0.21,2.08,3.4,3.74,gaze started: p_2_2
11.15,-0.21,2.08,3.4,3.74,gaze started: p_2_2
11.2,-0.31,2.07,3.4,3.79,-       
11.25,-0.33,2.06,3.4,3.8,-       
11.3,-0.33,2.05,3.4,3.83,-       
11.35,-0.33,2.05,3.4,3.83,-       
11.4,-0.3,2.09,3.4,3.86,gaze fixated: p_2_2
11.45,-0.82,2.15,3.4,3.94,-       
11.5,-0.85,2.15,3.4,3.94,gaze started: p_2_1
11.55,-0.85,2.16,3.4,3.95,-       
11.6,-0.86,2.15,3.4,3.99,-       
11.65,-0.85,2.14,3.4,4.01,-       
11.7,-0.86,2.15,3.4,4.04,-       
11.75,-0.86,2.16,3.4,4.05,gaze fixated: p_2_1
11.8,-0.85,2.15,3.4,4.09,-       
11.85,-0.85,2.16,3.4,4.11,-       
11.9,-0.97,2.21,3.4,4.14,-       
11.95,-1.02,2.23,3.4,4.14,-       
12.0,-1.02,2.23,3.4,4.15,-       
12.05,-1.02,2.21,3.4,4.17,-       
12.1,-1.04,2.22,3.4,4.19,-       
12.15,-1.02,2.22,3.4,4.21,-       
12.2,-1.04,2.21,3.4,4.22,-       
12.25,-1.05,2.21,3.4,4.23,-       
12.3,-1.03,2.2,3.4,4.24,-       
12.35,-1.04,2.21,3.4,4.24,-       
12.4,-1.03,2.23,3.4,4.26,-       
12.45,-1.02,2.23,3.4,4.27,-       
12.5,-0.91,2.31,3.4,4.34,-       
12.55,-0.86,2.41,3.4,4.36,gaze started: p_1_1
12.6,-0.96,2.34,3.4,4.36,-       
12.65,-0.94,2.36,3.4,4.37,-       
12.7,-0.9,2.37,3.4,4.38,-       
12.75,-0.89,2.36,3.4,4.38,-       
12.8,-0.74,2.21,3.4,4.4,gaze fixated: p_1_1
12.85,-0.74,2.23,3.4,4.42,gaze started: p_2_1
12.9,-0.7,2.25,3.4,4.43,-       
12.95,-0.75,2.22,3.4,4.45,-       
13.0,-0.76,2.22,3.4,4.47,-       
13.05,-0.77,2.21,3.4,4.47,-       
13.1,-0.74,2.22,3.4,4.46,gaze fixated: p_2_1
13.15,-0.54,2.05,3.4,4.51,-       
13.2,-0.57,2.05,3.4,4.5,gaze started: p_2_2
13.25,-0.56,2.05,3.4,4.49,-       
13.3,-0.55,2.06,3.4,4.49,-       
13.35,-0.51,2.08,3.4,4.5,-       
13.4,-0.11,2.07,3.4,4.53,-       
13.45,-0.2,2.02,3.4,4.51,gaze fixated: p_2_2
13.5,-0.2,2.01,3.4,4.5,-       
13.55,-0.67,2.21,3.4,4.47,-       
13.6,-0.67,2.21,3.4,4.47,-       
13.65,-0.74,2.12,3.4,4.46,-       
13.7,-0.69,2.13,3.4,4.42,gaze started: p_2_1
13.75,-0.68,2.14,3.4,4.39,gaze started: p_2_2
13.8,-0.69,2.14,3.4,4.35,-       
13.85,-0.71,2.15,3.4,4.34,-       
13.9,-0.71,2.15,3.4,4.32,gaze started: p_2_1
13.95,-0.71,2.2,3.4,4.37,-       
14.0,-0.78,2.29,3.46,4.34,-       
14.05,-0.75,2.3,3.46,4.35,-       
14.1,-0.75,2.26,3.4,4.35,-       
14.15,-0.73,2.26,3.4,4.34,gaze started: p_2_1
14.2,-0.71,2.25,3.4,4.38,-       
14.25,-0.71,2.25,3.4,4.41,-       
14.3,-0.71,2.25,3.4,4.42,-       
14.35,-0.74,2.3,3.4,4.47,-       
14.4,-0.87,2.31,3.4,4.44,gaze started: p_1_1
14.45,-0.87,2.3,3.4,4.45,-       
14.5,-0.85,2.3,3.4,4.45,-       
14.55,-0.83,2.29,3.4,4.43,-       
14.6,-0.82,2.29,3.4,4.44,-       
14.65,-0.8,2.28,3.4,4.42,gaze fixated: p_1_1
14.7,-0.78,2.29,3.4,4.43,-       
14.75,-0.63,2.27,3.4,4.46,-       
14.8,-0.67,2.29,3.46,4.47,gaze started: p_1_2
14.85,-0.65,2.26,3.4,4.48,-       
14.9,-0.65,2.25,3.4,4.5,gaze started: p_2_2
14.95,-0.65,2.26,3.4,4.51,-       
15.0,-0.64,2.25,3.4,4.52,-       
15.05,-0.64,2.25,3.4,4.52,-       
15.1,-0.64,2.24,3.4,4.54,-       
15.15,-0.63,2.24,3.4,4.54,-       
15.2,-0.62,2.25,3.4,4.55,gaze fixated: p_2_2
15.25,-0.61,2.25,3.4,4.55,-       
15.3,-0.61,2.25,3.4,4.55,-       
15.35,-0.61,2.25,3.4,4.57,-       
15.4,-0.6,2.26,3.4,4.58,-       
15.45,-0.6,2.29,3.46,4.58,-       
15.5,-0.57,2.26,3.4,4.6,gaze ended: p_2_2
15.55,-0.59,2.24,3.4,4.61,gaze started: p_2_2
15.6,-0.59,2.24,3.4,4.61,-       
15.65,-0.52,2.16,3.4,4.54,-       
15.7,-0.56,2.15,3.4,4.48,-       
15.75,-0.56,2.15,3.4,4.44,-       
15.8,-0.58,2.15,3.4,4.37,gaze fixated: p_2_2
