time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.52,1.32,3.4,3.74,-       
0.05,0.47,1.29,3.4,3.74,gaze started: p_4_3
0.1,0.52,1.32,3.46,3.77,-       
0.15,0.53,-0.02,2.74,3.68,-       
0.2,0.27,0.54,1.39,3.76,-       
0.25,0.27,0.54,1.4,3.71,-       
0.3,0.37,-0.02,2.17,4.02,-       
0.35,0.37,-0.02,2.22,3.97,-       
0.4,0.37,-0.02,2.22,3.97,-       
0.45,0.37,-0.02,2.22,3.97,-       
0.5,0.37,-0.02,2.22,3.97,-       
0.55,0.37,-0.02,2.22,3.97,-       
0.6,0.37,-0.02,2.22,3.97,-       
0.65,0.37,-0.02,2.22,3.97,-       
0.7,0.37,-0.02,2.22,3.97,-       
0.75,0.37,-0.02,2.22,3.97,-       
0.8,0.28,1.54,3.4,4.48,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_vaping_30s_50wd.mp4
0.85,0.25,1.55,3.4,4.47,gaze started: p_3_3
0.9,0.27,1.52,3.4,4.47,-       
0.95,0.33,1.6,3.4,4.48,-       
1.0,0.23,1.57,3.4,4.49,-       
1.05,0.31,1.54,3.4,4.52,-       
1.1,0.35,1.56,3.4,4.55,gaze fixated: p_3_3
1.15,0.31,1.55,3.4,4.56,-       
1.2,0.27,1.53,3.4,4.56,-       
1.25,0.03,1.23,3.4,4.73,-       
1.3,-0.41,0.82,3.57,4.64,gaze started: p_4_2
1.35,-0.47,0.76,3.57,4.63,-       
1.4,-0.39,0.77,3.57,4.69,-       
1.45,-0.55,0.59,3.57,4.73,-       
1.5,-0.61,0.53,3.25,4.74,-       
1.55,-0.64,0.53,3.21,4.82,-       
1.6,-0.64,0.53,3.22,4.82,-       
1.65,-0.67,0.53,3.21,4.81,-       
1.7,-1.49,0.65,3.38,4.92,-       
1.75,-1.46,0.64,3.38,4.97,-       
1.8,-1.42,0.65,3.39,4.97,-       
1.85,-1.46,0.64,3.38,5.01,-       
1.9,-1.44,0.66,3.37,5.05,-       
1.95,1.17,0.82,-0.9,,-       
2.0,1.13,0.82,-0.88,,-       
2.05,1.1,0.82,-0.86,,-       
2.1,1.07,0.82,-0.84,,-       
2.15,0.12,1.17,3.4,4.74,-       
2.2,0.13,1.32,3.4,4.89,gaze started: p_4_2
2.25,0.29,1.35,3.4,4.95,gaze started: p_4_3
2.3,0.61,1.54,3.4,5.03,gaze started: p_3_3
2.35,0.61,1.54,3.4,4.96,-       
2.4,0.59,1.6,3.4,4.85,-       
2.45,0.63,1.57,3.4,4.35,-       
2.5,0.62,1.57,3.4,4.2,-       
2.55,0.68,1.53,3.4,4.16,-       
2.6,1.35,0.84,-0.79,,gaze fixated: p_3_3
2.65,1.32,0.84,-0.8,,-       
2.7,1.27,0.84,-0.79,,-       
2.75,1.23,0.84,-0.78,,-       
2.8,1.2,0.84,-0.78,,-       
2.85,0.03,1.62,3.4,3.75,-       
2.9,0.03,1.61,3.4,3.76,-       
2.95,0.03,1.6,3.4,3.76,-       
3.0,0.07,1.56,3.4,3.83,-       
3.05,0.1,1.63,3.4,3.82,-       
3.1,0.06,1.62,3.4,3.84,-       
3.15,0.05,1.62,3.4,3.87,gaze fixated: p_3_2
3.2,-0.02,1.66,3.4,3.85,-       
3.25,-0.03,1.63,3.4,3.71,-       
3.3,0.94,0.84,-0.73,,-       
3.35,0.94,0.84,-0.73,,-       
3.4,0.94,0.84,-0.74,,-       
3.45,0.93,0.84,-0.74,,-       
3.5,0.92,0.84,-0.74,,-       
3.55,0.94,0.84,-0.76,,-       
3.6,0.95,0.84,-0.76,,-       
3.65,0.96,0.84,-0.77,,-       
3.7,1.0,0.84,-0.77,,-       
3.75,1.01,0.84,-0.77,,-       
3.8,0.03,0.9,3.4,4.03,-       
3.85,-0.06,0.82,3.57,4.08,gaze started: p_4_2
3.9,-0.02,0.78,3.57,3.93,-       
3.95,-0.05,0.73,3.57,4.03,-       
4.0,-0.19,0.53,3.13,4.09,-       
4.05,-0.23,0.53,3.14,4.06,-       
4.1,-0.22,0.53,3.04,3.98,-       
4.15,-0.21,0.53,2.97,3.9,-       
4.2,-0.21,0.53,2.97,3.83,-       
4.25,-0.19,0.52,2.93,3.78,-       
4.3,-0.2,0.52,2.93,3.8,-       
4.35,-0.21,0.53,2.95,3.81,-       
4.4,-0.21,0.53,3.0,3.82,-       
4.45,-0.2,0.53,3.18,3.89,-       
4.5,-0.21,0.53,3.06,3.8,-       
4.55,-0.23,0.53,3.08,3.77,-       
4.6,-0.23,0.53,3.05,3.76,-       
4.65,-0.22,0.53,3.05,3.77,-       
4.7,-0.21,0.53,3.26,3.9,-       
4.75,-0.15,0.53,3.09,3.82,-       
4.8,-0.16,0.53,3.11,3.82,-       
4.85,-0.17,0.53,3.09,3.84,-       
4.9,-0.17,0.53,3.12,3.89,-       
4.95,-0.18,0.53,3.15,3.95,-       
5.0,-0.18,0.53,3.15,3.96,-       
5.05,-0.17,0.53,3.09,3.95,-       
5.1,-0.17,0.53,3.09,3.96,-       
5.15,-0.18,0.53,3.1,3.94,-       
5.2,-0.18,0.53,3.06,3.9,-       
5.25,-0.18,0.53,3.07,3.89,-       
5.3,-0.19,0.53,3.03,3.76,-       
5.35,0.25,0.63,3.57,3.8,-       
5.4,1.09,0.82,-0.94,,-       
5.45,1.07,0.82,-0.93,,-       
5.5,1.06,0.82,-0.92,,-       
5.55,1.21,0.62,3.57,3.8,-       
5.6,1.29,0.59,3.22,3.55,-       
5.65,1.29,0.59,3.24,3.55,-       
5.7,1.28,0.59,3.23,3.58,-       
5.75,0.65,1.14,3.4,3.89,-       
