time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.35,2.36,3.4,3.66,-       
0.05,-0.37,2.35,3.4,3.64,gaze started: p_1_2
0.1,-0.35,2.38,3.4,3.67,-       
0.15,-0.39,2.28,3.46,3.7,-       
0.2,-0.36,2.32,3.4,3.69,-       
0.25,-0.36,2.32,3.4,3.68,gaze started: p_1_2
0.3,-0.36,2.31,3.4,3.68,-       
0.35,-0.37,2.32,3.4,3.67,-       
0.4,-0.35,2.3,3.4,3.57,-       
0.45,-0.18,2.14,3.4,3.6,-       
0.5,-0.14,2.12,3.4,3.58,-       
0.55,-0.15,2.11,3.4,3.58,-       
0.6,-0.11,2.14,3.4,3.57,-       
0.65,0.89,0.79,-0.49,,-       
0.7,0.89,0.79,-0.49,,-       
0.75,0.89,0.79,-0.49,,-       
0.8,0.89,0.79,-0.49,,-       
0.85,0.89,0.79,-0.49,,-       
0.9,0.89,0.79,-0.49,,-       
0.95,0.89,0.79,-0.49,,-       
1.0,0.89,0.79,-0.49,,-       
1.05,0.89,0.79,-0.49,,-       
1.1,0.89,0.79,-0.49,,-       
1.15,-0.44,2.29,3.46,3.59,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_vaping_30s_50wd.mp4
1.2,-0.45,2.28,3.46,3.6,-       
1.25,-0.47,2.49,3.4,3.64,gaze started: p_1_2
1.3,-0.45,2.43,3.4,3.6,-       
1.35,-0.45,2.4,3.4,3.6,-       
1.4,-0.44,2.43,3.4,3.59,-       
1.45,0.89,0.78,-0.49,,-       
1.5,0.89,0.79,-0.49,,-       
1.55,0.89,0.79,-0.49,,-       
1.6,0.89,0.79,-0.49,,-       
1.65,0.89,0.79,-0.49,,-       
1.7,0.89,0.79,-0.49,,-       
1.75,0.89,0.79,-0.49,,-       
1.8,0.89,0.79,-0.49,,-       
1.85,0.89,0.79,-0.49,,-       
1.9,0.89,0.79,-0.49,,-       
1.95,0.89,0.79,-0.49,,-       
2.0,0.89,0.79,-0.49,,-       
2.05,0.89,0.78,-0.49,,-       
2.1,-0.51,2.36,3.4,3.79,-       
2.15,0.89,0.78,-0.49,,gaze started: p_1_2
2.2,0.89,0.79,-0.49,,-       
2.25,0.89,0.79,-0.49,,-       
2.3,0.89,0.79,-0.49,,-       
2.35,0.89,0.79,-0.49,,-       
2.4,0.89,0.79,-0.49,,-       
2.45,0.89,0.79,-0.49,,-       
2.5,0.89,0.79,-0.49,,-       
2.55,0.89,0.79,-0.49,,-       
2.6,-0.56,2.28,3.4,3.73,-       
2.65,-0.58,2.28,3.4,3.67,gaze started: p_1_2
2.7,-0.02,2.17,3.4,3.53,gaze started: p_2_2
2.75,0.04,2.08,3.4,3.42,-       
2.8,-0.04,2.15,3.4,3.18,-       
2.85,0.89,0.79,-0.49,,-       
2.9,0.89,0.79,-0.49,,-       
2.95,0.89,0.79,-0.49,,-       
3.0,0.89,0.79,-0.49,,-       
3.05,0.89,0.79,-0.49,,-       
3.1,0.89,0.79,-0.49,,-       
3.15,-0.01,1.98,3.4,2.74,-       
3.2,0.04,2.01,3.4,2.74,gaze started: p_2_2
3.25,0.02,2.0,3.4,2.73,-       
3.3,-0.02,2.0,3.4,2.67,-       
3.35,-0.01,1.97,3.4,2.68,-       
3.4,0.07,1.97,3.4,2.71,-       
3.45,0.05,1.94,3.4,2.7,gaze fixated: p_2_2
3.5,0.05,1.94,3.4,2.68,-       
3.55,0.06,1.93,3.4,2.67,-       
3.6,0.04,1.95,3.4,2.66,-       
3.65,0.89,0.79,-0.49,,-       
3.7,0.89,0.79,-0.49,,-       
3.75,0.89,0.79,-0.49,,-       
3.8,0.89,0.79,-0.49,,-       
3.85,0.02,1.9,3.4,2.62,-       
3.9,0.02,1.88,3.4,2.57,gaze started: p_2_2
3.95,0.05,1.88,3.4,2.64,-       
