time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.62,2.33,3.4,5.29,gaze started: p_1_3
0.05,0.62,2.33,3.4,5.29,gaze started: p_1_3
0.1,0.61,2.32,3.4,5.26,-       
0.15,0.59,2.35,3.4,5.25,-       
0.2,0.55,2.39,3.4,5.24,-       
0.25,0.55,2.39,3.4,5.23,-       
0.3,0.56,2.4,3.4,5.23,gaze fixated: p_1_3
0.35,0.59,2.31,3.4,5.24,-       
0.4,0.57,2.42,3.4,5.28,-       
0.45,0.65,2.31,3.4,5.27,-       
0.5,0.57,2.41,3.4,5.23,-       
0.55,0.57,2.43,3.4,5.32,-       
0.6,0.57,2.43,3.4,5.32,-       
0.65,0.57,2.43,3.4,5.32,-       
0.7,0.57,2.43,3.4,5.32,-       
0.75,0.57,2.43,3.4,5.32,-       
0.8,0.57,2.43,3.4,5.32,-       
0.85,0.57,2.43,3.4,5.32,-       
0.9,0.57,2.43,3.4,5.32,-       
0.95,0.57,2.43,3.4,5.32,-       
1.0,0.57,2.43,3.4,5.32,-       
1.05,0.57,2.43,3.4,5.32,-       
1.1,-0.1,2.19,3.4,5.17,video started: C:/Users/CAS.CARISMA/Desktop/VR-Video/resources/stimuli/health_weight_30s_100.mp4
1.15,-0.07,2.16,3.4,5.15,gaze started: p_2_2
1.2,-0.05,2.15,3.4,5.13,-       
1.25,-0.07,2.17,3.4,5.12,-       
1.3,-0.06,2.16,3.4,5.12,-       
1.35,0.03,2.07,3.4,5.18,-       
1.4,0.67,0.78,-0.31,,gaze fixated: p_2_2
1.45,0.67,0.78,-0.31,,gaze ended: p_2_2
1.5,0.67,0.78,-0.31,,-       
1.55,0.67,0.78,-0.31,,-       
1.6,0.67,0.78,-0.31,,-       
1.65,-0.0,1.86,3.4,5.06,-       
1.7,-0.07,1.93,3.4,5.01,gaze started: p_2_2
1.75,-0.01,1.88,3.4,5.06,-       
1.8,-0.04,1.9,3.4,5.0,-       
1.85,-0.05,1.88,3.4,5.01,-       
1.9,-0.01,1.87,3.4,5.0,-       
1.95,-0.0,1.87,3.4,5.02,gaze fixated: p_2_2
2.0,-0.0,1.87,3.4,5.02,gaze fixated: p_2_2
2.05,-0.02,1.87,3.4,5.04,-       
2.1,-0.07,1.89,3.4,5.05,-       
2.15,-0.06,1.89,3.4,5.05,-       
2.2,-0.06,1.89,3.4,5.05,-       
2.25,-0.08,1.9,3.4,5.06,-       
2.3,-0.05,1.89,3.4,5.06,-       
2.35,-0.05,1.89,3.4,5.06,-       
2.4,-0.07,1.9,3.4,5.07,-       
2.45,-0.09,1.88,3.4,5.0,-       
2.5,0.31,1.82,3.4,4.64,-       
2.55,0.32,1.72,3.4,4.44,gaze started: p_2_3
2.6,0.31,1.81,3.46,4.11,gaze started: p_3_3
2.65,0.38,1.69,3.4,3.89,-       
2.7,0.68,0.78,-0.31,,gaze started: p_3_3
2.75,0.67,0.77,-0.31,,-       
2.8,0.67,0.77,-0.31,,-       
2.85,0.67,0.78,-0.31,,-       
2.9,-0.04,1.77,3.4,3.23,-       
2.95,-0.04,1.76,3.4,3.26,gaze started: p_3_2
3.0,-0.05,1.77,3.4,3.24,-       
3.05,-0.1,1.78,3.4,3.28,-       
3.1,-0.18,1.77,3.4,3.26,-       
3.15,-0.18,1.76,3.4,3.24,-       
3.2,-0.11,1.76,3.4,3.21,gaze fixated: p_3_2
3.25,-0.11,1.76,3.4,3.19,-       
3.3,-0.12,1.76,3.4,3.18,-       
3.35,-0.09,1.76,3.4,3.14,-       
3.4,-0.22,1.75,3.4,3.12,-       
3.45,-0.19,1.76,3.4,3.12,-       
3.5,-0.22,1.76,3.4,3.12,-       
3.55,-0.09,1.76,3.4,3.13,-       
3.6,-0.11,1.75,3.4,3.16,-       
3.65,-0.11,1.75,3.4,3.22,-       
3.7,-0.14,1.74,3.4,3.27,-       
3.75,-0.14,1.74,3.4,3.27,-       
3.8,-0.12,1.75,3.4,3.34,-       
3.85,-0.11,1.74,3.4,3.38,-       
3.9,-0.12,1.75,3.4,3.43,-       
3.95,-0.12,1.75,3.4,3.46,-       
4.0,-0.08,1.76,3.4,3.52,-       
4.05,-0.09,1.77,3.4,3.55,-       
4.1,-0.1,1.77,3.4,3.63,-       
4.15,-0.13,1.77,3.4,3.68,-       
4.2,-0.16,1.78,3.4,3.74,-       
4.25,-0.12,1.77,3.4,3.8,-       
4.3,-0.12,1.77,3.4,3.84,-       
4.35,-0.12,1.78,3.4,3.89,-       
4.4,-0.12,1.78,3.4,3.91,-       
4.45,-0.12,1.77,3.4,3.95,-       
4.5,-0.13,1.77,3.4,3.98,-       
4.55,-0.16,1.78,3.4,4.0,-       
4.6,-0.11,1.77,3.4,4.01,-       
4.65,-0.11,1.78,3.4,4.03,-       
4.7,-0.11,1.77,3.4,4.05,-       
4.75,-0.1,1.77,3.4,4.06,-       
4.8,-0.11,1.77,3.4,4.08,-       
4.85,-0.12,1.77,3.4,4.08,-       
4.9,-0.12,1.77,3.4,4.08,-       
4.95,-0.13,1.77,3.4,4.1,-       
5.0,-0.13,1.77,3.4,4.12,-       
5.05,-0.13,1.77,3.4,4.14,-       
5.1,-0.13,1.77,3.4,4.18,-       
5.15,-0.12,1.77,3.4,4.21,-       
5.2,-0.12,1.77,3.4,4.21,-       
5.25,-0.13,1.77,3.4,4.23,-       
5.3,-0.13,1.78,3.4,4.23,-       
5.35,-0.13,1.78,3.4,4.23,-       
5.4,-0.13,1.78,3.4,4.22,-       
5.45,-0.14,1.77,3.4,4.21,-       
5.5,-0.14,1.78,3.4,4.19,-       
5.55,-0.12,1.77,3.4,4.14,-       
5.6,-0.12,1.77,3.4,4.03,-       
5.65,-0.12,1.77,3.4,3.92,-       
5.7,-0.13,1.77,3.4,3.85,-       
5.75,-0.14,1.78,3.4,3.8,-       
5.8,-0.13,1.77,3.4,3.75,-       
5.85,-0.19,1.78,3.4,3.75,-       
5.9,-0.22,1.79,3.4,3.78,-       
5.95,-0.19,1.81,3.46,3.8,-       
6.0,-0.21,1.8,3.46,3.84,gaze ended: p_3_2
6.05,-0.15,1.82,3.4,4.0,-       
6.1,0.03,1.89,3.4,4.01,gaze started: p_2_2
6.15,0.04,1.87,3.4,4.07,-       
6.2,0.11,1.84,3.4,4.08,-       
6.25,0.09,1.85,3.4,4.11,-       
6.3,0.05,1.86,3.4,4.12,-       
6.35,0.04,1.87,3.4,4.12,gaze fixated: p_2_2
6.4,0.67,0.77,-0.31,,-       
6.45,0.66,0.77,-0.31,,gaze ended: p_2_2
6.5,0.67,0.77,-0.31,,-       
6.55,0.67,0.77,-0.31,,-       
6.6,0.19,1.88,3.4,4.07,-       
6.65,0.2,1.86,3.4,4.03,gaze started: p_2_3
6.7,0.16,1.88,3.4,4.07,-       
6.75,0.15,1.88,3.4,4.05,-       
6.8,0.15,1.88,3.4,4.05,-       
6.85,0.12,1.88,3.4,4.08,-       
6.9,0.15,1.87,3.4,4.07,gaze started: p_2_2
6.95,0.15,1.86,3.4,4.0,gaze started: p_2_3
7.0,0.12,1.86,3.4,3.94,-       
7.05,0.12,1.87,3.4,3.9,gaze started: p_2_2
7.1,0.11,1.87,3.4,3.89,-       
7.15,0.13,1.87,3.4,3.87,-       
7.2,0.16,1.86,3.4,3.88,-       
7.25,0.15,1.87,3.4,3.88,gaze started: p_2_3
7.3,0.13,1.87,3.4,3.89,-       
7.35,0.13,1.87,3.4,3.9,gaze started: p_2_2
7.4,0.12,1.87,3.4,3.9,-       
7.45,0.13,1.87,3.4,3.87,-       
7.5,0.13,1.87,3.4,3.86,-       
7.55,0.06,1.89,3.4,3.85,-       
7.6,0.07,1.89,3.4,3.85,gaze fixated: p_2_2
7.65,0.06,1.89,3.4,3.89,-       
7.7,0.11,1.88,3.4,3.89,-       
7.75,0.12,1.87,3.4,3.88,-       
7.8,0.11,1.88,3.4,3.88,-       
7.85,0.07,1.88,3.4,3.87,-       
7.9,0.13,1.87,3.4,3.88,-       
7.95,0.11,1.89,3.4,3.9,-       
8.0,0.11,1.89,3.4,3.9,-       
8.05,0.13,1.88,3.4,3.91,-       
8.1,0.12,1.88,3.4,3.91,-       
8.15,0.12,1.87,3.4,3.93,-       
8.2,0.12,1.87,3.4,3.93,-       
8.25,0.11,1.87,3.4,3.92,-       
8.3,0.11,1.87,3.4,3.91,-       
8.35,0.1,1.86,3.4,3.92,-       
8.4,0.12,1.87,3.4,3.92,-       
8.45,0.12,1.86,3.4,3.92,-       
8.5,0.12,1.87,3.4,3.9,-       
8.55,0.11,1.87,3.4,3.88,-       
8.6,0.12,1.87,3.4,3.78,-       
8.65,0.12,1.87,3.4,3.68,-       
8.7,0.12,1.88,3.4,3.57,-       
8.75,0.13,1.88,3.4,3.47,-       
8.8,0.12,1.88,3.4,3.44,-       
8.85,0.11,1.88,3.4,3.38,-       
8.9,0.11,1.89,3.4,3.36,-       
8.95,0.11,1.89,3.4,3.36,-       
9.0,0.12,1.88,3.4,3.33,-       
9.05,0.11,1.88,3.4,3.34,-       
9.1,0.11,1.88,3.4,3.34,-       
9.15,0.11,1.88,3.4,3.39,-       
9.2,0.11,1.88,3.4,3.39,-       
9.25,0.12,1.88,3.4,3.49,-       
9.3,0.12,1.89,3.4,3.54,-       
9.35,0.12,1.88,3.4,3.6,-       
9.4,0.12,1.89,3.4,3.63,-       
9.45,0.12,1.88,3.4,3.67,-       
9.5,0.11,1.88,3.4,3.7,-       
9.55,0.1,1.88,3.4,3.73,-       
9.6,0.11,1.89,3.4,3.77,-       
9.65,0.12,1.89,3.4,3.79,-       
9.7,0.11,1.89,3.4,3.79,-       
9.75,0.13,1.87,3.4,3.83,-       
9.8,0.12,1.88,3.4,3.87,-       
9.85,0.12,1.88,3.4,3.87,-       
9.9,0.12,1.88,3.4,3.89,-       
9.95,0.12,1.88,3.4,3.9,-       
10.0,0.12,1.88,3.4,3.91,-       
10.05,0.12,1.89,3.4,3.95,-       
10.1,0.12,1.89,3.4,3.97,-       
10.15,0.12,1.89,3.4,3.97,-       
10.2,0.12,1.9,3.4,3.96,-       
10.25,0.07,1.89,3.4,3.95,-       
10.3,0.11,1.87,3.4,3.94,-       
10.35,0.13,1.88,3.4,3.93,-       
10.4,0.13,1.88,3.4,3.93,-       
10.45,0.13,1.88,3.4,3.93,-       
10.5,0.14,1.88,3.46,3.91,-       
10.55,0.13,1.86,3.4,3.93,gaze ended: p_2_2
