time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.48,2.33,3.4,3.27,-       
0.05,0.48,2.31,3.4,3.27,-       
0.1,0.48,2.31,3.4,3.27,-       
0.15,0.46,2.26,3.4,3.27,-       
0.2,0.46,2.26,3.4,3.26,gaze started: p_2_3
0.25,0.26,2.66,3.4,3.33,-       
0.3,-0.29,2.35,3.4,3.3,gaze started: p_1_3
0.35,-0.33,2.34,3.4,3.28,gaze started: p_1_2
0.4,-0.03,2.31,3.4,3.27,-       
0.45,-0.35,2.31,3.4,3.27,-       
0.5,-0.33,2.32,3.4,3.27,-       
0.55,0.08,2.18,3.4,3.29,-       
0.6,0.09,2.21,3.4,3.31,gaze started: p_2_2
0.65,0.02,2.23,3.4,3.29,-       
0.7,-0.02,2.24,3.4,3.27,-       
0.75,-0.02,2.24,3.4,3.27,-       
0.8,-0.02,2.24,3.4,3.27,-       
0.85,-0.02,2.24,3.4,3.27,-       
0.9,-0.02,2.24,3.4,3.27,-       
0.95,-0.02,2.24,3.4,3.27,-       
1.0,-0.02,2.24,3.4,3.27,-       
1.05,-0.02,2.24,3.4,3.27,-       
1.1,-0.02,2.24,3.4,3.27,-       
1.15,-0.02,2.24,3.4,3.27,-       
1.2,-0.02,2.24,3.4,3.27,-       
1.25,0.83,0.86,-0.55,,gaze fixated: p_2_2
1.3,0.83,0.86,-0.55,,gaze fixated: p_2_2
1.35,0.84,0.85,-0.53,,gaze ended: p_2_2
1.4,0.65,2.08,3.4,3.11,-       
1.45,0.68,2.24,3.4,3.27,gaze started: p_2_3
1.5,0.71,2.21,3.4,3.21,-       
1.55,0.67,2.2,3.4,3.2,-       
1.6,0.84,0.85,-0.54,,-       
1.65,0.84,0.85,-0.54,,-       
1.7,0.84,0.85,-0.54,,-       
1.75,0.84,0.86,-0.54,,-       
1.8,0.85,0.86,-0.54,,-       
1.85,0.86,0.86,-0.54,,-       
1.9,0.86,0.86,-0.54,,-       
1.95,0.87,0.86,-0.54,,-       
2.0,0.88,0.86,-0.55,,-       
2.05,0.89,0.86,-0.55,,-       
2.1,0.89,0.86,-0.55,,-       
2.15,0.9,0.86,-0.56,,-       
2.2,0.91,0.86,-0.56,,-       
2.25,1.71,1.59,3.4,2.89,-       
2.3,1.43,1.7,3.4,3.08,gaze started: p_3_4
2.35,0.93,1.58,3.4,2.54,-       
2.4,0.73,2.02,3.4,3.01,gaze started: p_3_3
2.45,0.1,1.83,3.4,2.98,gaze started: p_2_3
2.5,-0.0,2.16,3.4,3.36,gaze started: p_2_2
2.55,-0.25,2.21,3.4,3.34,-       
2.6,-0.02,2.07,3.4,3.26,-       
2.65,0.15,1.97,3.4,3.21,-       
2.7,0.41,1.71,3.4,2.82,gaze started: p_2_3
2.75,0.41,1.77,3.4,2.67,gaze started: p_3_3
2.8,0.52,1.64,3.4,2.6,-       
2.85,0.51,1.68,3.4,2.53,-       
2.9,0.5,1.69,3.4,2.44,-       
2.95,0.51,1.69,3.4,2.34,-       
3.0,0.11,1.75,3.4,2.19,gaze fixated: p_3_3
3.05,0.11,1.75,3.4,2.19,gaze fixated: p_3_3
3.1,0.92,0.86,-0.57,,gaze started: p_3_2
3.15,0.92,0.86,-0.57,,-       
3.2,0.92,0.86,-0.57,,-       
3.25,0.91,0.86,-0.57,,-       
3.3,0.91,0.86,-0.57,,-       
3.35,0.92,0.86,-0.57,,-       
3.4,0.92,0.86,-0.57,,-       
3.45,0.92,0.86,-0.57,,-       
3.5,0.91,0.86,-0.57,,-       
3.55,0.23,1.84,3.4,2.08,-       
3.6,-0.13,1.72,3.4,2.08,gaze started: p_2_3
3.65,0.38,2.02,3.4,2.33,gaze started: p_3_2
3.7,0.91,0.86,-0.57,,gaze started: p_2_3
3.75,0.92,0.86,-0.58,,-       
3.8,0.92,0.86,-0.58,,-       
3.85,0.92,0.86,-0.57,,-       
3.9,0.91,0.86,-0.57,,-       
3.95,0.91,0.86,-0.57,,-       
4.0,0.92,0.86,-0.57,,-       
4.05,0.92,0.86,-0.57,,-       
4.1,-0.06,1.61,3.4,2.26,-       
4.15,-0.06,1.61,3.4,2.26,-       
4.2,0.35,1.8,3.46,2.41,gaze started: p_3_2
4.25,-0.25,1.31,3.4,2.23,-       
4.3,-0.1,0.55,3.57,1.88,gaze started: p_4_2
4.35,0.91,0.86,-0.57,,-       
4.4,0.91,0.86,-0.57,,-       
4.45,0.91,0.86,-0.57,,-       
4.5,-0.26,0.92,3.4,2.26,-       
4.55,-0.18,0.88,3.4,2.27,gaze started: p_4_2
4.6,-0.12,0.95,3.4,2.27,-       
4.65,0.14,1.06,3.4,2.27,-       
4.7,0.15,1.04,3.4,2.27,gaze started: p_4_3
4.75,0.17,1.06,3.4,2.27,-       
4.8,0.18,1.09,3.4,2.25,-       
4.85,0.18,1.1,3.4,2.22,-       
4.9,0.17,1.09,3.4,2.19,-       
4.95,0.11,1.09,3.4,2.14,gaze fixated: p_4_3
5.0,-0.0,0.99,3.4,2.08,gaze started: p_4_2
5.05,-0.19,0.88,3.4,2.07,-       
5.1,-0.19,0.88,3.4,2.1,-       
5.15,-0.04,1.04,3.4,2.17,-       
5.2,-0.04,1.04,3.4,2.17,-       
5.25,0.12,1.1,3.4,2.24,-       
5.3,0.14,1.13,3.46,2.28,gaze fixated: p_4_2
5.35,0.11,1.12,3.4,2.33,gaze ended: p_4_2
5.4,0.11,1.12,3.4,2.33,gaze ended: p_4_2
5.45,0.17,1.16,3.4,2.39,gaze started: p_4_2
5.5,0.18,1.18,3.4,2.4,gaze started: p_4_3
5.55,0.12,1.1,3.4,2.43,-       
5.6,0.17,1.15,3.4,2.41,gaze started: p_4_2
5.65,0.1,1.08,3.4,2.43,gaze started: p_4_3
5.7,0.15,1.12,3.4,2.43,gaze started: p_4_2
5.75,0.19,1.15,3.4,2.45,gaze started: p_4_3
5.8,0.14,1.13,3.46,2.42,-       
5.85,0.19,1.16,3.4,2.38,-       
5.9,0.13,1.11,3.4,2.35,gaze started: p_4_3
5.95,0.13,1.11,3.4,2.32,gaze started: p_4_2
6.0,0.13,1.1,3.4,2.29,-       
6.05,0.15,1.12,3.4,2.32,-       
6.1,0.13,1.11,3.4,2.34,gaze started: p_4_3
6.15,0.18,1.16,3.4,2.36,gaze started: p_4_2
6.2,0.11,1.1,3.4,2.39,gaze started: p_4_3
6.25,0.01,1.01,3.4,2.44,gaze started: p_4_2
6.3,0.01,1.01,3.4,2.44,gaze started: p_4_2
6.35,0.13,1.1,3.4,2.49,-       
6.4,-0.37,0.73,3.57,2.36,-       
6.45,0.91,0.86,-0.55,,-       
