time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.53,2.42,3.4,3.56,-       
0.05,-0.32,2.49,3.4,3.65,-       
0.1,-0.35,2.39,3.4,3.65,-       
0.15,-0.35,2.39,3.4,3.65,-       
0.2,-0.35,2.39,3.4,3.65,-       
0.25,-0.35,2.39,3.4,3.65,-       
0.3,-0.35,2.39,3.4,3.65,-       
0.35,-0.35,2.39,3.4,3.65,-       
0.4,-0.35,2.39,3.4,3.65,-       
0.45,-0.35,2.39,3.4,3.65,-       
0.5,-0.35,2.39,3.4,3.65,-       
0.55,-0.35,2.39,3.4,3.65,-       
0.6,-0.35,2.39,3.4,3.65,-       
0.65,-0.25,2.38,3.4,3.44,gaze fixated: p_1_2
0.7,-0.25,2.38,3.4,3.44,gaze fixated: p_1_2
0.75,-0.25,2.38,3.4,3.44,gaze fixated: p_1_2
0.8,-0.2,2.38,3.4,3.36,-       
0.85,-0.15,2.38,3.4,3.36,-       
0.9,-0.15,2.38,3.4,3.34,-       
0.95,-0.14,2.38,3.4,3.33,-       
1.0,-0.14,2.38,3.4,3.34,-       
1.05,-0.15,2.38,3.4,3.34,-       
1.1,-0.14,2.38,3.4,3.35,-       
1.15,-0.21,2.31,3.4,3.43,-       
1.2,-0.32,2.21,3.4,3.43,-       
1.25,-0.31,2.17,3.4,3.43,gaze started: p_2_2
1.3,-0.35,2.15,3.4,3.42,-       
1.35,-0.35,2.15,3.4,3.42,-       
1.4,-0.33,2.14,3.4,3.45,-       
1.45,1.01,0.71,-0.46,,-       
1.5,1.01,0.72,-0.47,,-       
1.55,1.01,0.72,-0.47,,-       
1.6,1.01,0.72,-0.46,,-       
1.65,1.01,0.71,-0.46,,-       
1.7,1.02,0.72,-0.47,,-       
1.75,-0.51,1.79,3.4,3.54,-       
1.8,-0.52,1.73,3.4,3.6,gaze started: p_3_2
1.85,-0.56,1.73,3.4,3.6,-       
1.9,-0.55,1.73,3.4,3.63,-       
1.95,-0.54,1.72,3.4,3.65,-       
2.0,-0.51,1.7,3.4,3.65,-       
2.05,0.32,1.76,3.4,3.84,gaze fixated: p_3_2
2.1,0.44,1.59,3.4,3.5,gaze started: p_3_3
2.15,0.49,1.58,3.4,3.43,-       
2.2,0.54,1.56,3.4,3.37,-       
2.25,0.54,1.59,3.4,3.2,-       
2.3,0.53,1.64,3.4,3.11,-       
