time,point x ,point y ,point z ,pupil diameter,flag    
0.0,0.6,1.92,3.4,4.42,-       
0.05,0.6,1.91,3.4,4.41,-       
0.1,0.6,1.89,3.4,4.41,-       
0.15,0.6,1.88,3.4,4.41,-       
0.2,0.58,1.84,3.4,4.4,-       
0.25,0.58,1.85,3.4,4.39,gaze fixated: p_2_3
0.3,0.59,1.82,3.4,4.37,-       
0.35,0.59,1.81,3.4,4.38,-       
0.4,0.59,1.83,3.4,4.43,-       
0.45,-0.35,2.01,3.4,4.47,-       
0.5,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.55,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.6,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.65,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.7,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.75,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.8,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.85,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.9,-0.39,2.03,3.4,4.56,gaze started: p_2_2
0.95,-0.39,2.03,3.4,4.56,gaze started: p_2_2
1.0,-0.39,2.03,3.4,4.56,gaze started: p_2_2
1.05,-0.54,2.12,3.4,4.4,gaze fixated: p_2_2
1.1,-0.55,2.12,3.4,4.39,-       
1.15,-0.55,2.11,3.4,4.37,-       
1.2,-0.53,2.12,3.4,4.39,-       
1.25,-0.53,2.13,3.4,4.41,-       
1.3,-0.52,2.14,3.4,4.44,-       
1.35,-0.51,2.14,3.4,4.48,-       
1.4,-0.51,2.13,3.4,4.49,-       
1.45,-0.25,2.0,3.4,4.65,-       
1.5,0.64,0.79,-0.32,,-       
1.55,0.64,0.79,-0.32,,gaze ended: p_2_2
1.6,0.64,0.79,-0.32,,-       
1.65,0.65,0.36,2.94,4.31,-       
1.7,0.57,0.53,3.17,4.36,-       
1.75,0.57,0.53,2.93,4.39,-       
1.8,0.59,0.51,2.93,4.42,-       
1.85,0.53,0.5,2.93,4.46,-       
1.9,0.15,0.47,2.93,4.34,-       
1.95,0.19,0.47,2.94,4.33,-       
2.0,0.16,0.52,2.93,4.35,-       
2.05,0.14,0.52,2.93,4.37,-       
2.1,-0.08,0.74,3.57,4.31,-       
2.15,0.08,1.0,3.4,4.48,-       
2.2,-0.14,1.12,3.4,4.43,gaze started: p_4_2
2.25,-0.01,0.98,3.4,4.42,-       
2.3,-0.02,0.98,3.4,4.44,-       
2.35,-0.03,0.99,3.4,4.46,-       
2.4,0.57,1.4,3.4,4.56,-       
2.45,0.49,1.62,3.4,4.33,gaze started: p_3_3
2.5,0.51,1.75,3.4,4.22,-       
2.55,0.49,1.69,3.4,4.07,-       
2.6,0.42,1.6,3.4,3.86,-       
2.65,0.41,1.58,3.4,3.51,-       
2.7,0.43,1.59,3.4,3.43,-       
2.75,0.44,1.47,3.4,3.36,gaze fixated: p_3_3
2.8,0.44,1.54,3.4,3.06,-       
2.85,0.44,1.69,3.4,3.04,-       
2.9,0.45,1.67,3.4,3.03,-       
2.95,0.46,1.65,3.4,3.01,-       
3.0,0.46,1.69,3.4,2.97,-       
3.05,0.44,1.67,3.4,2.94,-       
3.1,0.43,1.65,3.4,2.93,-       
3.15,0.44,1.65,3.4,2.96,-       
3.2,0.44,1.61,3.4,2.98,-       
3.25,0.43,1.5,3.4,3.0,-       
3.3,0.44,1.67,3.4,3.05,-       
3.35,0.44,1.67,3.4,3.09,-       
3.4,0.44,1.66,3.4,3.11,-       
3.45,0.43,1.57,3.4,3.23,-       
3.5,0.43,1.51,3.4,3.26,-       
3.55,0.43,1.54,3.4,3.31,-       
3.6,0.41,1.68,3.4,3.36,-       
3.65,0.4,1.66,3.4,3.39,-       
3.7,0.4,1.49,3.4,3.43,-       
3.75,0.4,1.45,3.4,3.5,-       
3.8,0.36,1.56,3.4,3.57,-       
3.85,0.37,1.52,3.4,3.62,-       
3.9,0.38,1.55,3.4,3.68,-       
3.95,0.42,1.49,3.4,3.75,-       
4.0,0.42,1.47,3.4,3.75,-       
4.05,0.38,1.52,3.4,3.76,-       
4.1,0.4,1.49,3.4,3.78,-       
4.15,0.41,1.45,3.4,3.79,-       
4.2,0.42,1.48,3.4,3.81,-       
4.25,0.42,1.48,3.4,3.81,-       
4.3,0.43,1.45,3.4,3.85,-       
4.35,0.42,1.46,3.4,3.87,-       
4.4,0.42,1.52,3.4,3.9,-       
4.45,0.45,1.54,3.4,3.92,-       
4.5,0.45,1.52,3.4,3.93,-       
4.55,0.42,1.54,3.4,3.92,-       
4.6,0.42,1.54,3.4,3.92,-       
4.65,0.44,1.47,3.4,3.93,-       
4.7,0.46,1.53,3.4,3.95,-       
4.75,0.44,1.59,3.4,3.98,-       
4.8,0.44,1.56,3.4,3.96,-       
4.85,0.44,1.45,3.4,3.98,-       
4.9,0.46,1.5,3.4,4.03,-       
4.95,0.44,1.58,3.4,4.04,-       
5.0,0.43,1.58,3.4,4.06,-       
5.05,0.45,1.44,3.4,4.04,-       
5.1,0.45,1.45,3.4,4.03,-       
5.15,0.45,1.54,3.4,4.04,-       
5.2,0.42,1.59,3.4,4.01,-       
5.25,0.42,1.48,3.4,3.94,-       
5.3,0.42,1.43,3.4,3.93,-       
5.35,0.41,1.58,3.4,3.95,-       
5.4,0.44,1.51,3.4,3.93,-       
5.45,0.42,1.45,3.4,3.89,-       
5.5,0.41,1.54,3.4,3.84,-       
5.55,0.4,1.44,3.4,3.78,-       
5.6,0.4,1.5,3.4,3.69,-       
5.65,0.41,1.46,3.4,3.52,-       
5.7,0.44,1.43,3.4,3.47,-       
5.75,0.38,1.48,3.4,3.41,-       
5.8,0.39,1.44,3.4,3.28,-       
5.85,0.41,1.4,3.4,3.28,-       
5.9,0.39,1.57,3.4,3.31,-       
5.95,0.39,1.53,3.4,3.32,-       
6.0,0.38,1.52,3.4,3.34,-       
6.05,0.4,1.42,3.4,3.41,-       
6.1,0.39,1.42,3.4,3.43,-       
6.15,0.38,1.53,3.4,3.53,-       
6.2,0.38,1.54,3.4,3.53,-       
6.25,0.42,1.39,3.4,3.6,-       
6.3,0.43,1.4,3.4,3.64,-       
6.35,0.44,1.38,3.4,3.67,-       
6.4,0.44,1.39,3.4,3.71,-       
6.45,0.26,1.83,3.4,3.89,-       
6.5,0.26,1.77,3.4,3.93,gaze started: p_2_3
6.55,0.28,1.78,3.4,3.96,gaze started: p_3_3
6.6,0.27,1.75,3.4,3.95,-       
6.65,0.28,1.76,3.4,3.93,-       
6.7,0.29,1.73,3.4,3.92,-       
6.75,0.27,1.75,3.4,3.94,-       
6.8,0.04,1.53,3.4,3.74,gaze fixated: p_3_3
6.85,-0.47,0.65,3.57,3.84,gaze started: p_3_2
6.9,-0.45,0.68,3.57,3.79,-       
6.95,-0.52,0.57,3.57,3.81,-       
7.0,-0.43,0.67,3.57,3.8,-       
7.05,-0.48,0.69,3.57,3.79,-       
7.1,-0.49,0.67,3.57,3.8,-       
7.15,-0.55,0.75,3.57,3.88,-       
7.2,-1.19,0.66,3.57,3.89,-       
7.25,-1.2,0.61,3.57,3.82,-       
7.3,-1.23,0.65,3.57,3.8,-       
7.35,-1.08,0.78,3.57,3.83,-       
7.4,0.06,1.57,3.4,3.82,-       
7.45,0.3,1.9,3.4,3.99,gaze started: p_3_3
7.5,0.29,1.91,3.4,4.02,gaze started: p_2_3
7.55,0.31,1.85,3.4,3.9,-       
7.6,0.29,1.83,3.4,3.83,-       
7.65,0.31,1.81,3.46,3.76,-       
7.7,0.29,1.79,3.4,3.71,-       
7.75,0.28,1.76,3.4,3.64,gaze started: p_3_3
7.8,0.25,1.78,3.4,3.54,-       
7.85,0.3,1.71,3.4,3.45,-       
7.9,0.29,1.75,3.4,3.37,-       
7.95,0.27,1.76,3.4,3.37,-       
8.0,0.26,1.75,3.4,3.35,-       
8.05,0.25,1.77,3.4,3.31,-       
8.1,0.22,1.77,3.4,3.32,-       
8.15,0.16,1.7,3.4,3.34,-       
8.2,0.18,1.7,3.4,3.36,-       
8.25,0.2,1.71,3.4,3.4,-       
8.3,0.2,1.71,3.4,3.4,-       
8.35,0.2,1.7,3.4,3.47,-       
8.4,0.2,1.7,3.4,3.47,-       
8.45,0.21,1.76,3.4,3.56,-       
8.5,0.23,1.77,3.4,3.56,-       
8.55,0.24,1.77,3.4,3.55,-       
8.6,0.23,1.77,3.4,3.5,-       
8.65,0.22,1.77,3.4,3.41,-       
8.7,0.64,0.79,-0.33,,-       
8.75,0.64,0.79,-0.33,,gaze ended: p_3_3
8.8,0.64,0.79,-0.33,,-       
8.85,0.64,0.79,-0.33,,-       
8.9,0.23,1.97,3.4,3.38,-       
8.95,0.2,1.84,3.4,3.16,-       
9.0,0.2,1.84,3.4,3.17,-       
9.05,0.21,1.79,3.4,3.21,-       
9.1,0.22,1.82,3.46,3.23,gaze started: p_3_3
9.15,0.24,1.89,3.4,3.32,-       
9.2,0.25,1.83,3.4,3.26,gaze started: p_2_3
9.25,0.26,1.84,3.4,3.28,-       
9.3,0.25,1.84,3.4,3.29,-       
9.35,0.25,1.85,3.4,3.31,-       
9.4,0.11,1.84,3.4,3.55,-       
9.45,0.64,0.79,-0.33,,gaze started: p_2_2
9.5,0.64,0.79,-0.33,,-       
9.55,0.64,0.79,-0.33,,-       
9.6,0.64,0.79,-0.33,,-       
9.65,0.29,1.92,3.4,3.66,-       
9.7,0.3,1.95,3.4,3.68,gaze started: p_2_3
